sequence	Ref. ID temp (Integer starting from 1 and counting upwards)	SAM_Position	Ref. Lead author	Ref. Publication date [year:mm:dd]	Ref_journal	Cell. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Cell. Area. Measured [cm^2]	Cell. Number of cells per substrate	Cell. Architecture [nip/pin/ ?€?]	Cell. Flexible [TRUE/FALSE]	Cell. Semitransparent [TRUE/FALSE]	Module [TRUE/FALSE]	Module. Number of cells in module	Substrate. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Single crystal [TRUE/FALSE]	Perovskite. Dimension. 0D (Quantum dot) [TRUE/FALSE]	Perovskite. Dimension. 2D [TRUE/FALSE]	Perovskite. Dimension. 2D/3D mixture [TRUE/FALSE]	Perovskite. Dimension. 3D [TRUE/FALSE]	Perovskite. Dimension. 3D with 2D capping layer [TRUE/FALSE]	Perovskite. Dimension. List of layers [Dim.1 | Dim.2 | ?€?]	Perovskite. Composition. Perovskite ABC3 structure [TRUE/FALSE]	Perovskite. Composition. Perovskite inspired structure [TRUE/FALSE]	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite. Composition. Lead free [TRUE/FALSE]	Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV]	Perovskite. Band gap. Graded [TRUE/FALSE | TRUE/FALSE | ...]	Perovskite. Band gap. Estimation basis [Absorption/Composition/Literature/EQE/?€?]	Perovskite. Deposition. Number of deposition steps	Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> ?€?| Agr. 4 | ... ]	Perovskite. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> ?€?| Gas5 | ... ]	Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> ?€?| Sol.5 | ... ]	Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> ?€?| 1 | ... ]	Perovskite. Deposition. Quenching induced crystallisation [TRUE/FALSE]	Perovskite. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> ?€?| T5 | ... ] [deg. C]	Perovskite. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> ?€?| t5 | ... ] [min]	Perovskite. Deposition. Solvent annealing [TRUE/FALSE]	HTL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	HTL. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; ?€?| Addt.4 | ... ]	HTL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Backcontact. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Backcontact. Thickness. List [Th.1 | Th.2 | ?€?| Th.n ] [nm]	Backcontact. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Add. Lay. Frontside [TRUE/FALSE]	Add. Lay. Backcontact side [TRUE/FALSE]	Encapsulation [TRUE/FALSE]	JV. Measured [TRUE/FALSE]	JV. Average over N number of cells	JV. Certified values [TRUE/FALSE]	JV. Light. Intensity [mW/cm^2]	JV. Reverse scan. Voc [V]	JV. Reverse scan. Jsc [mA/cm^2]	JV. Reverse scan. FF [number between 0 and 1]	JV. Reverse scan. PCE [%]	JV. Forward scan. Voc [V]	JV. Forward scan. Jsc [mA/cm^2]	JV. Forward scan. FF [number between 0 and 1]	JV. Forward scan. PCE [%]	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
34	10	0	Neha Singh et al.	2021/7/14	Organic Electronics	SLG | ITO | CPPA | Perovskite | PCBM-60 | Ag			pin	FALSE	FALSE	FALSE		SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.48	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO; NMP	63; 7; 10	TRUE	100	10	FALSE	CPPA	Undoped	CBD	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.06	16.08	0.68	11.65	1.06	16.08	0.68	11.65					buffer
35	10	0	Neha Singh et al.	2021/7/14	Organic Electronics	SLG | ITO | NPPA | Perovskite | PCBM-60 | Ag			pin	FALSE	FALSE	FALSE		SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.48	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO; NMP	63; 7; 10	TRUE	100	10	FALSE	NPPA	Undoped	CBD	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.07	18.44	0.7	13.94	1.07	18.44	0.7	13.94					buffer
37	11	0	Jiang et al.	2022/10/27	Angewandte Chemie International Edition	SLG | ITO | CbzPh | Perovskite | C60 | BCP | Ag			pin	FALSE	FALSE	FALSE	0	SLG | FTO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05MA0.15FA0.80PbI3	FALSE	FALSE		FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	35	FALSE	none		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	15	FALSE	100	1.12	23.43	0.7306	19.2	1.12	23.43	0.7306	19.2					buffer
38	11	0	Jiang et al.	2022/10/27	Angewandte Chemie International Edition	SLG | ITO | CbzNaph | Perovskite | C60 | BCP | Ag			pin	FALSE	FALSE	FALSE	0	SLG | FTO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05MA0.15FA0.80PbI3	FALSE	FALSE		FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	35	FALSE	none		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	15	FALSE	100	1.16	24.78	0.8183	23.6	1.17	24.69	0.8339	24.1					buffer
39	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | V1036 | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	V1036		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.041	21.2	0.793	17.5	1.041	21.2	0.793	17.5					buffer
40	12	-1	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | PTAA | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	PTAA		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.125	21.5	0.793	19.2	1.125	21.5	0.793	19.2					buffer
41	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | MeO-2PACz | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	MeO-2PACz		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.144	22.2	0.805	20.4	1.144	22.2	0.805	20.4					buffer
42	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | 2PACz | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	2PACz		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.188	21.9	0.802	20.9	1.188	21.9	0.802	20.9					buffer
44	12	-1	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | PTAA | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	PTAA		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.11	21	0.77	18.2	1.11	21	0.77	18.2					buffer
45	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | MeO-2PACz | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	MeO-2PACz		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.13	21.7	0.775	19.5	1.13	21.7	0.775	19.5					buffer
46	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | 2PACz | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	2PACz		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.17	22.25	0.75	19.9	1.17	22.25	0.75	19.9					buffer
47	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | 2PACz | Perovskite | C60 | BCP | Cu	0.1	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	2PACz		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	TRUE	100	1.158	25.01	0.7	20.28	1.157	21.65	0.81	20.29					buffer
48	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | MeO-2PACz | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Co-evaporation	Gas	Vacuum	none	1	FALSE	Unknown	Unknown	FALSE	MeO-2PACz		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.145	22.6	0.768	19.8	1.145	22.6	0.768	19.8					buffer
49	12	0	Al-Ashouri et al.	2019/10/2	Energy & Environmental Science	SLG | ITO | MeO-2PACz | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	45	FALSE	MeO-2PACz		Spin-coating	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.12	23.5	0.806	21.2	1.12	23.5	0.806	21.2					buffer
50	13	-1	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | PTAA | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	PTAA		Spin-coating	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	41	FALSE	100	1.09	20.87	0.778	17.69	1.09	20.87	0.778	17.69					buffer
51	13	0	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | V1036:C4 | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	V1036:C4		CBD	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	9	FALSE	100	0.95	21.08	0.658	13.05	0.95	21.08	0.658	13.05					buffer
52	13	0	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | V1036:C4 | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	V1036:C4		CBD	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	9	FALSE	100	1.05	21.19	0.709	15.78	1.05	21.19	0.709	15.78					buffer
53	13	0	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | V1036:C4 | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	V1036:C4		CBD	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	9	FALSE	100	1.02	21.27	0.712	15.43	1.02	21.27	0.712	15.43					buffer
56	13	0	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | V1036:C4 | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	V1036:C4		CBD	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	68	FALSE	100	1	21.01	0.783	16.46	1	21.01	0.783	16.46					buffer
58	13	0	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | V1036:C2 | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	V1036:C2		CBD	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.03	20.8	0.765	16.38	1.03	20.8	0.765	16.38					buffer
59	13	-1	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | PTAA | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	PTAA		Spin-coating	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.09	21.65	0.778	18.37	1.09	21.65	0.764	18.03					buffer
60	13	0	Magomedov et al.	2018/11/21	Advanced Energy Materials	SLG | ITO | V1036:C4 | Perovskite | C60 | BCP | Cu	0.16	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	V1036:C4		CBD	Cu	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.08	21.01	0.784	17.79	1.08	21.01	0.74	16.8					buffer
61	14	0	Murdey et al.	2022/7/7	Solar Energy Materials and Solar Cells	SLG | ITO | MeO-2PACz | Perovskite | C60 | BCP | Ag	0.1	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05FA0.80MA0.15PbI2.75Br0.25	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	3; 1	TRUE	150	10	FALSE	MeO-2PACz		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.04	23.16	0.76	18.5	1.06	23.14	0.74	18.2					buffer
62	14	0	Murdey et al.	2022/7/7	Solar Energy Materials and Solar Cells	SLG | ITO | MeO-2PACz | Perovskite | C60 | BCP | Ag	0.1	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05FA0.80MA0.15PbI2.75Br0.25	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	3; 1	TRUE	150	10	FALSE	MeO-2PACz		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.08	22.13	0.79	19	1.08	22.19	0.79	19					buffer
64	14	0	Murdey et al.	2022/7/7	Solar Energy Materials and Solar Cells	SLG | ITO | MeO-2PACz | Perovskite | C60 | BCP | Ag	0.1	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05FA0.80MA0.15PbI2Br	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	3; 1	TRUE	150	10	FALSE	MeO-2PACz		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.17	18.3	0.75	16.1	1.17	18.34	0.76	16.2					buffer
65	15	0	Ahmed Farag et al.	2023/1/4	Advanced Energy Materials	SLG | ITO | 2PACz | perovskite | LiF | C60 | BCP | Ag	0.105		pin	FALSE	FALSE	FALSE	0	SLG | ITO	LiF | C60 | BCP	Evaporation | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.17FA0.83PbI2.75Br0.25	FALSE	FALSE	1.68	FALSE		1	Spin-coating	Liquid	Unknown	DMF; DMSO	4; 1	TRUE	100	55	FALSE	2PACz	Undoped	Evaporation	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	26	FALSE	100	1.205	20	0.785	18.9	1.205	20	0.785	18.9					buffer
67	17	0	Xiang Deng et al.	2022/5/12	Angewandte Chemie	SLG | ITO | DC-PA; IAHA | perovskite | C60 | BCP |Ag	0.105		pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | BCP	Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05MA0.15FA0.80PbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	35	FALSE	DC-PA; IAHA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	TRUE	FALSE	TRUE		FALSE	100	1.16	24.66	0.8245	23.59	1.16	24.66	0.8245	23.59					buffer
68	18	0	Ak??n Kara et al.	2018/8/8	ACS Applied Materials	SLG | ITO | 1F-SAM | PEDOT:PSS | Perovskite | PCBM-60 | Ag	0.1		pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.55	FALSE		1	Spin-coating	Liquid	Air	GBL	1	FALSE	80	5	FALSE	PEDOT:PSS	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.99	20.47	0.7	14.04	0.99	20.47	0.7	14.04					buffer
69	18	0	Ak??n Kara et al.	2018/8/8	ACS Applied Materials	SLG | ITO | 2F-SAM | PEDOT:PSS | Perovskite | PCBM-60 | Ag	0.1		pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.55	FALSE		1	Spin-coating	Liquid	Air	GBL	1	FALSE	80	5	FALSE	PEDOT:PSS	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.98	22.2	0.72	15.66	0.98	22.2	0.72	15.66					buffer
71	19	0	Hou et al.	2017/1/2	Advanced Materials Interfaces	SLG | ITO | C60-C6-PA; I-Ph-PA | Perovskite | Spiro-MeOTAD | Ag	0.104		nip	FALSE	FALSE	FALSE	0	SLG | ITO	C60-C6-PA; I-Ph-PA	CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.56	FALSE		1	Spin-coating	Liquid	Unknown	DMF; DMSO	2; 1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.05	21.2	0.69	15.4	1.05	21.2	0.66	14.7					buffer
72	20	0	Emre Arkan et al.	2021/3/1	Materials Science in Semiconductor Processing	SLG | ITO | EA-54 | Perovskite | PCBM-60 | Ca | Ag	0.07		pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE		2	Spin-coating	Liquid	N2	DMF; DMSO >> IPA	92; 8  >> 1	FALSE	100	10	FALSE	EA-54	Undoped	CBD	Ca | Ag	20 | 100	Evaporation | Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.982	17.95	0.6364	11.22	0.973	19.3	0.5737	10.77					buffer
73	20	0	Emre Arkan et al.	2021/3/1	Materials Science in Semiconductor Processing	SLG | ITO | EA-58 | Perovskite | PCBM-60 | Ca | Ag	0.07		pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE		2	Spin-coating	Liquid	N2	DMF; DMSO >> IPA	92; 8  >> 1	FALSE	100	10	FALSE	EA-58	Undoped	CBD	Ca | Ag	20 | 100	Evaporation | Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.967	18.56	0.7637	13.71	0.953	18.62	0.7512	13.33					buffer
74	20	0	Emre Arkan et al.	2021/3/1	Materials Science in Semiconductor Processing	SLG | ITO | EA-63 | Perovskite | PCBM-60 | Ca | Ag	0.07		pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE		2	Spin-coating	Liquid	N2	DMF; DMSO >> IPA	92; 8  >> 1	FALSE	100	10	FALSE	EA-63	Undoped	CBD	Ca | Ag	20 | 100	Evaporation | Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.021	18.13	0.6071	11.24	1.013	19.02	0.5558	10.71					buffer
75	22	0	Jinyoung Han et al.	2019/12/21	Journal of Materials Chemistry A	SLG | ITO | ZnO | MBA | Perovskite | Spiro-MeOTAD | Au	0.06		nip	FALSE	FALSE	FALSE	0	SLG | ITO	ZnO	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE		1	Spin-coating	Liquid	Unknown	DMSO; GBL	1; 1	TRUE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE		FALSE	100	1.205	20	0.72	17.5	1.12	22.13	0.72	17.5					buffer
